building,fmCode,contactName,phone,area,numberLayer,floor,roomNumber,detailAdress,province,city,postalCode,zone,latitude,longtude,priceSquare,workingTime,blance,developer,grade,created_at,updated_at
ธนาอาร์เคเดีย,BP-11,ผจ.แก้ว,0-2883-5349-53     ,3.1,1,23,247,190/1  ถนนจรัญสนิทวงศ์  แขวงบางยี่ขัน เขตบางพลัด กรุงเทพมหานคร 10700 ,-,-,-,ห้วยขวาง,13.775316,100.484794,-,-,-,-,-,,
พลัมคอนโด พาร์ค รังสิต เฟส 3,,,0628036999   087-051-4846   ,4.2,4,8,1023,91 หมู่ 4 ตำบลคลองหนึ่ง อำเภอคลองหลวง จังหวัดปทุมธานี,-,-,-,บางพลัด,14.030784,100.610806,-,-,-,-,-,,
ลุมพินีคอนโดทาวน์ บดินทรเดชา-รามคำแหง,WTL-32,ผจ.คุณมัท 0-2192-7291,02-192-7291,4.1,"(A1 =231 ยูนิต, A 2-A 3 = 223 ยูนิต, A4 =239 ยูนิต, B1-B4 D1-D4=271 ยูนิต, C=108 ยูนิต, E=253 ยูนิต) ",,3445,43/1 แขวงพลับพลา เขตวังทองหลาง กรุงเทพมหานคร,-,-,-,คลองหลวง,13.7692971,100.6145793,-,-,-,-,-,,
พอส เอ สุขุมวิท 107,BN-71,095-252-7082,0-2399-4466   ,2.2,1,8,78,89 หมู่ที่ 7 ต.สำโรงเหนือ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270,-,-,-,วังทองหลาง,13.6579962,100.6029213,-,-,-,-,-,,
เดอะรูม สุขุมวิท 79,WTN-184,,"0-2740-3822, 086-341-5118",2.2,3,8,343,99 ซอยสุุขุมวิท 79 แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพฯ 10260,-,-,-,เมืองสมุทรปราการ,13.70779,100.601863,-,-,-,-,-,,
เซอร์เคิลS สุขุมวิท 12,KT-84,K.อ้อม,097-020-0806,1.2,1,8,110,20 ถนนสุขุมวิท ซอยสุขุมวิท 12 แขวงคลองเตย เขตคลองเตย กรุงเทพฯ 10110,-,-,-,วัฒนา,13.7351635,100.5557333,-,-,-,-,-,,
โนเบิล รีวีล,WTN-268,คุณชวลิต,0-2178-0601-2,2.1,1,27,273,36 ซอยสุขุมิท 63(เอกมัย) ถนนสุขุมวิท แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพฯ 10110,-,-,-,คลองเตย,13.7352098,100.5404124,-,-,-,-,-,,
บ.วีพี.เอสเซ็กส์ จก.(เดอะวอเตอร์ฟอร์ด สุขุมวิท 50),WTN-187,คุณเอ๋,089-6655554,2.2,2,8,236,890 ซอยสุขุมวิท 50 ถนนสุขุมวิท แขวงพระโขนง เขตคลองเตย กรุงเทพฯ,-,-,-,วัฒนา,13.706859,100.593018,-,-,-,-,-,,
ลุมพินี เพลส ปิ่นเกล้า 2,ST-84,คุณหยก,089-692-6394,3.1,1,26,651,89 ถนนบรมราชชนนี แขวงอรุณอัมรินทร์ เขตบางกอกน้อย กรุงเทพมหานคร,-,-,-,คลองเตย,13.779906,100.474266,-,-,-,-,-,,
ซีรีนเพลส 24,,,0-2260-4788 086-340-4123,1.2,1,8,78,9 ซอยเมธีนิเวศน์ สุขุมวิท 24 แขวงคลองตัน เขตคลองเตย กรุงเทพฯ 10110     ,-,-,-,บางกอกน้อย,13.72645,100.567339,-,-,-,-,-,,
เดอะ ลุมพินี 24,KT-95,คุณบอล  คุณธีรภัทร,0-2258-5488 095-736-4124,1.2,1,46,436,120  ซอย สุขุมวิท24 ถนนสุขุมวิท 24 แขวงคลองตัน เขตคลองเตย  กรุงเทพ,-,-,-,คลองเตย,13.72272,100.566141,-,-,-,-,-,,
เพรสซิเด็นท์ คอนโดทาวน์ 2,BKN-18,คุุณปุ้ม,0-2884-7308,3.1,1,9,257,สุขุมวิท 21 ซอย 1 แขวงคลองเตยเหนือ  เขตวัฒนา กรุงเทพมหานคร,-,-,-,คลองเตย,13.78327,100.467267,-,-,-,-,-,,
พรทวีวัฒน์ อาคาร เอ,NK-5,คุณกบ,0-2809-8793,3.1,1,10,525,99 หมู่ 12 ซ.73/1 แขวงหนองค้างพลู  เขตหนองแขม กรุงเทพฯ 10160,-,-,-,บางกอกน้อย,13.706483,100.368008,-,-,-,-,-,,
รีเจ้นท์โฮม บางซ่อน เฟส 27,BS-34,ผจ.K ก็อต : 089 8965711,02-1944627,4.1,4,24,4000,879 อาคารดี แขวงบางซื่อ เขตบางซื่อ กรุงเทพฯ 10800,-,-,-,หนองแขม,13.81937,100.529052,-,-,-,-,-,,
ซิตี้โฮม รัตนาธิเบศร์,NK-5,,02-5257677,4.1,2,24,1280,378/1 ถ.รัตนาธิเบศร์ ต.บางกระสอ อ.เมือง จ.นนทบุรี 11000,-,-,-,บางซื่อ,13.863709,100.501137,-,-,-,-,-,,
Lake Green,KT-113,,0-2653-2381   ,1.2,1,27,68,"199 Sukhumvit soi 8, Sukhumvit road, Klongtoey Bangkok 10110  ",-,-,-,เมืองนนทบุรี,13.7344672,100.553676,-,-,-,-,-,,
เอื้ออาทร บางนา นิติ 2 (ตึก 17 - 39),BPE-6,คุณทิพย์,0-2181-9949,2.2,12,5,916,252/37 หมู่ 7 อาคาร 39 ชั้น 1 ตำบลบางโฉลง อำเภอบางพลี จังหวัดสมุทรปราการ,-,-,-,,13.6268875,100.7560095,-,-,-,-,-,,
แม็กซี่ คอนโด,,,,,2,8,249,32/10 ซอยสุขาภิบาล 5 ซอย 73(พรกุลวัฒน์)แขวงออเงิน เขตสายไหม กรุงเทพ,-,-,-,บางพลี,13.8372199,100.5817346,-,-,-,-,-,,
เดอะรูม สุขุมวิท 69,WTN-183,K.โจ้ : 061 636 9290,0-2381-6043,2.1,1,27,273,1593 ถนนสุขุมวิท แขวงพระโขนง เขตคลองเตย กรุงเทพฯ,-,-,-,สายไหม,13.7144511,100.5906673,-,-,-,-,-,,
เดอะมิดด์ คอนโดมิเนียม (บริษัท กู๊ดวิลล์ แลนด์ จำกัด),,,"081-9969636 ,099-0645558",,2,8,448,99 หมู่ 12 ตำบลบางรักพัฒนา อำเภอบางบัวทอง จังหวัดนนทบุรี,-,-,-,คลองเตย,13.8837162,100.4073833,-,-,-,-,-,,
เดอะคิวบ์ ประชาอุทิศ อาคารบี,RBU-15,คุณเปิ้ล,097-248-5454,3.2,1,8,137,3 ซอยประชาอุทิศ 37 แขวงราษฏร์บูรณะ เขตราษฏร์บูรณะ กรุงเทพ,-,-,-,บางบัวทอง,13.6549812,100.4970493,-,-,-,-,-,,
"เสริมศิริ อาคารชุด 1 (1,2)",,คุุณบุญปลูก,081-918-3445,4.2,2,8,134,54/68 แขวงคลองถนน เขตบางเขน กรุงเทพฯ,-,-,-,เขตราษฎร์บูรณะ,13.881762,100.597978,-,-,-,-,-,,
"เสริมศิริ อาคารชุด 2 (3,4)",,คุุณบุญปลูก,081-918-3445,4.2,2,8,134,54/68 แขวงคลองถนน เขตบางเขน กรุงเทพฯ,-,-,-,บางเขน,13.881762,100.597978,-,-,-,-,-,,
"เสริมศิริ อาคารชุด 3 (5,6)",,คุุณบุญปลูก,081-918-3445,4.2,2,8,134,54/68 แขวงคลองถนน เขตบางเขน กรุงเทพฯ,-,-,-,บางเขน,13.881762,100.597978,-,-,-,-,-,,
เดอะคริส 3,HK-108,คุณนัท,"0-2276-8901, 089-4479815",1.2,1,8,109,328 ซอยอินทามระ 45 แขวงดินแดง เขตดินแดง กรุงเทพฯ,-,-,-,บางเขน,13.78718,100.571878,-,-,-,-,-,,
แฟมมิลี่ ปาร์ค ทาวเวอร์ ดี,JJ-117,นิติ,081-1853636,4.1,1,8,84,413 ซ.ลาดพร้าว 48 (พิบูลย์อุปถัมภ์) แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพ,-,-,-,ดินแดง,13.787069,100.5372451,-,-,-,-,-,,
ลีโว ลาดพร้าว 18,JJ-57,"คุณเมย์ , ผจก.นที","0-2116-4800, 091-771-1184",4.1,1,8,129,118 ซ.ลาดพร้าว 18 ถ.ลาดพร้าว แขวงจอมพล เขตจตุจักร กรุงเทพฯ  10310,-,-,-,ห้วยขวาง,13.8048306,100.5678237,-,-,-,-,-,,
เดอะคริส 1,HK-106,คุณโอ๋,"086-905-6606 ,0-2693-6951-2",1.2,1,8,124,324 ซ.อินทามระ 45 แขวงดินแดง เขตดินแดง กรุงเทพฯ,-,-,-,จตุจักร,13.787342,100.570697,-,-,-,-,-,,
33 ทาวเวอร์,WTN-5,คุณปาวลี,"0-2260-4110, 081-358-0116",1.2,1,28,56,66 ซอยสุขุมวิท 33 (แดงอุดม) ถนนสุขุมวิท แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพฯ 10110,-,-,-,ดินแดง,13.7357955,100.5661422,-,-,-,-,-,,
บ้านเอื้ออาทรบางโฉลง 4 (อาคาร 42-65),BPE-2,คุณเอ๋,0-2364-2794,2.2,24,5,1048,180/41-42 ชั้น 1 อาคารหลังที่ 8(49) ต.บางโฉลง อ.บางพลี จ.สมุทรปราการ ,-,-,-,วัฒนา,13.6025713,"100.749382,",-,-,-,-,-,,
ฮาเว่น ลุกซ์,PYT-51,ผจก.มาย,098-995-2290,1.2,1,8,133,39 ซอยอินทามะ 4 ถนนสุทธิสารวินิจฉัย แขวงสามเสนใน เขตพญาไท กรุงเทพ 10400,-,-,-,บางพลี,13.7897694,100.5496952,-,-,-,-,-,,
เลิศอุบล สกาย ไลฟ์ ทาวเวอร์,JJ-108,คุณวีณา,"087-826-2843 ,02 938 5380",4.1,1,15,65,10 ซอยลาดพร้าว 8 แขวงจอมพล เขตจตุจักร กรุงเทพฯมหานคร,-,-,-,พญาไท,13.8099013,100.5619416,-,-,-,-,-,,
อีควิน็อคซ์ พหล-วิภา,JJ-80,,0-2272-2200 ต่อ 101,1.2,2,42,490,345 ถนนวิภาวดีรังสิต แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900,-,-,-,จตุจักร,13.8090913,100.5571623,-,-,-,-,-,,
เดอะรูม สุขุมวิท 64,PKN-44,คุณอุ้ย,0-2741-5437-8,2.1,1,8,105,58 ซ.สุขุมวิท 64 ถ.สุขุมวิท แขวงพระโขนงใต้ เขตพระโขนง กทม. 10260,-,-,-,จตุจักร,13.686225,100.6026102,-,-,-,-,-,,
เดอะคิวบ์ ประชาอุทิศ อาคารเอ,RBU-14,,092-265-8897,3.2,2,8,138,1 ซอยประชาอุทิศ 37 แขวงราษฏร์บูรณะ เขตราษฏร์บูรณะ  กรุงเทพฯ,-,-,-,พระโขนง,13.6549812,100.4970493,-,-,-,-,-,,
THE POSH 12 (บริษัท กนกกร พัฒนา จำกัด),,,,,2,"40,45",1373,"999/9 The Offices at Central World 38 th Floor,Unit No 3801-3802 Rama1 Road ,Patumwan Bangkok",-,-,-,ราษฎร์บูรณะ,13.851128,100.516371,-,-,-,-,-,,
ศุภาลัย ปาร์ค แยกเกษตร,JJ-72,,02-1586480,4.1,2,26,1200,2/1481 ถนนประเสริฐมนูกิจ แขวงเสนานิคม เขตจตุจักร กรุงเทพฯ,-,-,-,,13.8392906,100.5778387,-,-,-,-,-,,
บัณฑิตอินเตอร์ทาวน์ 8,,น.ส.ลัดดาวัลย์ ธนานันต์กุล,081-9298306,,1,8,120,117 หมู่ 6 ต.คูคต อ.ลำลูกกา จ.ปทุมธานี,-,-,-,จตุจักร,13.962541,100.648759,-,-,-,-,-,,
บัณฑิตอินเตอร์ทาวน์ 11,,น.ส.ลัดดาวัลย์ ธนานันต์กุล,081-9298306,,1,8,120,120 หมู่ 6 ต.คูคต อ.ลำลูกกา จ.ปทุมธานี,-,-,-,ลำลูกกา,13.962541,100.648759,-,-,-,-,-,,
บัณฑิตอินเตอร์ทาวน์ 12,,น.ส.ลัดดาวัลย์ ธนานันต์กุล,081-9298306,,1,8,120,121 หมู่ 6 ต.คูคต อ.ลำลูกกา จ.ปทุมธานี,-,-,-,ลำลูกกา,13.962541,100.648759,-,-,-,-,-,,
ซิลเวอร์ เฮอริเทจ,KT-18,นิติฯ,086-3405455 02-7135544 ,1.2,1,8,27,98 ถนนสุขุมวิท 38 แขวงพระโขนง  เขตคลองเตย กรุงเทพมหานคร,-,-,-,ลำลูกกา,13.7185795,100.5772389,-,-,-,-,-,,
เอ เอ็ม เอฟ คอนโดมิเนียม,PYT-78,คุณอานนท์,098-254-1261,1.2,1,8,103,35/35 ซ.อินทามระ 1 สามเสนใน พญาไท กทม. 10400,-,-,-,คลองเตย,13.7896182,100.5485862,-,-,-,-,-,,
"พรีม่า ศรีนครินทร์ (A:188,B:106,C:152,D:75)",SL-13,คุณอิ๋ว,02-327-6666-7,2.1,4,8,451,1134 ถนนศรีนครินทร์ แขวงสวนหลวง เขตสวนหลวง กรุงเทพฯ,-,-,-,พญาไท,13.7151956,100.6399322,-,-,-,-,-,,
ลุมพินี เพลส รัชดา-ท่าพระ,TB-11,,086-355-8666,3.2,3,29,930,18 ถนนรัชดาภิเษก แขวงบุคคโล เขตธนบุรี  กรุงเทพฯ,-,-,-,สวนหลวง,13.7087089,100.4787426,-,-,-,-,-,,
เออร์บิเทีย ทองหล่อ,KT-152,คุณพิมพิสา (คุณอุ้ย),091-801-8008,1.2,1,8,130,11 ซอยสุขุมวิท 36 แขวงพระโขนง เขตคลองเตย กรุงเทพ 10110,-,-,-,ธนบุรี,13.7225838,100.5747529,-,-,-,-,-,,
ปทุมวันเพลส,PTW-27,คุุณเรณู,094-337-3085,1.1,1,17,274,10330 ถนน พญาไท แขวง วังใหม่ เขต ปทุมวัน กรุงเทพมหานคร 10330,-,-,-,คลองเตย,13.7486632,100.5281241,-,-,-,-,-,,
อิลีเม้นท์ ศรีนครินทร์ 3     ,PV-20,,0-2117-1241,2.1,1,8,169,96  ซอยสุภาพงษ์ 1 แยก 6 ถนนศรีนครินทร์ แขวงหนองบอน เขตประเวศ กรุงเทพฯ 10250 ,-,-,-,ปทุมวัน,13.6956744,100.6436994,-,-,-,-,-,,
อิลีเม้นท์ ศรีนครินทร์ 4-5,PV-31,,0-2052-9997,2.1,2,8,388,94 ซอยสุภาพงษ์ 1 แยก 6 ถนนศรีนครินทร์ แขวงหนองบอน เขตประเวศ กรุงเทพฯ 10250,-,-,-,ประเวศ,13.6956744,100.6436994,-,-,-,-,-,,
LAVIQ SUKHUMVIT 57 (บ.เรียลแอสเสท อีเวลลอปเม้นท์),,คุณนพดล : 095 5915924,,,1,33,235,1768 ถนนเพชรบุรีตัดใหม่ แขวงบางกะปิ เขตห้วยขวาง กรุงเทพฯ,-,-,-,ประเวศ,13.724056,100.580351,-,-,-,-,-,,
แกรนด์ ดานา ทาวเวอร์,JJ-155,คุุณเกด,"0-2938-7531 , 081-613-8611, 086-332-4892",4.1,1,13,100,300 ซ.ลาดพร้าว 20 แขวงลาดยาว เขตจตุจักร กรุงเทพฯ,-,-,-,ห้วยขวาง,13.8046382,100.569017,-,-,-,-,-,,
วิภาวดี วิว,JJ-65,คุณดา,063-696-5461,4.1,1,7,55,63 ซ.ทรงสะอาด  ถ.วิภาวดีรังสิต กรุงเทพฯ,-,-,-,จตุจักร,13.8048537,100.5656654,-,-,-,-,-,,
ไอดีโอคิว ราชเทวี,RTV-54,,02-0631449,1.2,1,37,323,515 ถนนเพชรบุรี  แขวงถนนพญาไท เขตราชเทวี กรุงเทพฯ,-,-,-,,13.7527787,100.5316555,-,-,-,-,-,,
เมโทรสกาย ประชาชืน,NGW-8,,,4.1,3,24,1365,769 อาคาร บี ถนนประชาชื่น แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพฯ 10800,-,-,-,ราชเทวี,13.822353,100.536958,-,-,-,-,-,,
เดอะนิช ไอดี ลาดพร้าว-วังหิน อาคารเอ และอาคารบี,LPU-24,คุณเมย์,0-2192-4601 092-315-2227,4.1,2,8,301,263 ซอยลาดพร้าว-วังหิน 39/1 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร,-,-,-,บางซื่อ,13.808452,100.589302,-,-,-,-,-,,
ศุภาลัย ซิตี้ รีสอร์ท รัชโยธิน-พหลโยธิน 32,JJ-69,คุณปุกกี้,091-004-4736,4.1,2,8,322,288 ซอยพหลโยธิน 32 ถนนเสนานิคม 1 แขวงจันทรเกษม เขตจตุจักร กทม.,-,-,-,ลาดพร้าว,13.834275,100.578765,-,-,-,-,-,,
แอสปาย ลาดพร้าว 113,BKP-74,ผจก.หนุ่ม,063-203-2186  097-063-2591,2.1,1,8,270,135 ถนนลาดพร้าว ซอยลาดพร้าว 113(ชื่นสุข) แขวงคลองจั่น เขตบางกะปิ กรุงเทพฯ,-,-,-,จตุจักร,13.769815,100.638904,-,-,-,-,-,,
บางกะปิ คอนโดทาวน์ อาคาร บี,BKP-12,ผจก.ประเสริฐ,086-888-2893  0-2733-1892,2.1,1,8,384,281 ถนนลาดพร้าว ซอยลาดพร้าว 121 แขวงคลองจั่น เขตบางกะปิ กรุงเทพฯ,-,-,-,บางกะปิ,13.772673,100.644072,-,-,-,-,-,,
เดอะรอยัล วิภาวดี,JJ-92,,0-2941-1555,4.1,1,17,142,46 ซอยวิภาวดี 48 ถนนวิภาวดี-รังสิต แขวงลาดยาว เขตจตุจักร กรุงเทพฯ,-,-,-,บางกะปิ,13.843548,100.562339,-,-,-,-,-,,
วิลล่า สาทร,KS-5,,"086-330-9458 , 02-4392541-3",3.2,1,40,636,ถนนกรุงธนบุรี แขวงคลองต้นไทร เขตคลองสาน กรุงเทพฯ,-,-,-,จตุจักร,13.721311,100.504343,-,-,-,-,-,,
VIP Condominium (บ. เอส อี เอสเตท จก.),JJ-154,คุณเสกสรรค์,061-678-6773,4.1,1,7,188,140 ซอยวิภาวดีรังสิต 20 แยก 4 แขวงจอมพล เขตจตุจักร กรุงเทพฯ,-,-,-,คลองสาน,13.800512,100.564206,-,-,-,-,-,,
บัณฑิตอินเตอร์ทาวน์ 7,,น.ส.ลัดดาวัลย์ ธนานันต์กุล,081-9298306,,1,8,120,116 หมู่ที่ 6 ตำบลคูคต อำเภอลำลูกกา จังหวัดปทุมธานี,-,-,-,จตุจักร,13.962541,100.648759,-,-,-,-,-,,
The Excel Hideaway สุขุมวิท 50 All Inspire Development Public (บ.ออลล์ อินสไปร์-ฮูซิเออร์ สุขุมวิท 50 จก.),,,,,4,8,772,4345 อาคารภิรัชทาวเวอร์ แอท ไปเทค ชั้นที่ 18 ถ.สุขุมวิท บางนา กรุงเทพฯ,-,-,-,ลำลูกกา,13.706252,100.591049,-,-,-,-,-,,
Riser RAMA 9 (บ.ออลล์ อินสไปร์ ดีเวลลอปเม้นท์ จก(มหาชน),,,,,4,8,652,4346 อาคารภิรัชทาวเวอร์ แอท ไปเทค ชั้นที่ 18 ถ.สุขุมวิท บางนา กรุงเทพฯ,-,-,-,บางนา,13.750421,100.598134,-,-,-,-,-,,
เมโทรลักซ์  รัชดา,,K.โม : 06-3164-2811 ,20235461,1.2,4,8,445,461 เมโทรลักซ์  รัชดา อาคารดี ถ.รัชดาภิเษก แขวงดินแดง เขตดินแดง กรุงเทพฯ 10400,-,-,-,บางนา,13.784159,100.573098,-,-,-,-,-,,
คอนโด ซิตี้สมาร์ท,KT-16,,"0-2663-5191 , 090-667-7531",1.2,1,20,195,366 ซอยสุขุมวิท 18 ถนนสุขุมวิท แขวงคลองเตย กรุงเทพฯ,-,-,-,ดินแดง,13.735046,100.562221,-,-,-,-,-,,
เอกสินเพลส,NON-17,คุณนพพร : 081 6649124,คุณติ๊ก 097-995-1645,4.1,1,25,315,90 ถ.งามวงศ์วาน ต.บางเขน อ.เมือง จ.นนทบุรี,-,-,-,คลองเตย,13.858072,100.526666,-,-,-,-,-,,
สุขุมวิท พลัส คอนโดมิเนียม,KT-77,,0-2712-1444,1.2,2,17,383,1414 ถนนสุขุมวิท แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร,-,-,-,เมืองนนทบุรี,13.71298,100.592349,-,-,-,-,-,,
ตลาดบองมาร์เช่ (ห้างหุ้นส่วนจำกัด รัจนาการ 2530) ,,คุณ สัญญา : 086 8865843/02 9538980,ช่างเอส : 089 5085227,4.1,1,2,120,105/1 ถนนเทศบาลสงเคราะห์  แขวงลาดยาว  เขตจตุจักร  กรุงเทพ 1090,-,-,-,คลองเตย,13.839176,100.550813,-,-,-,-,-,,
S5 By SW ( บริษัท เอส.เค.ทู จำกัด( ลาดพร้าว 80 แยก 5-2)),,คุุณเกรท,082 381 8888,,1,8,100,858 สุขุมวิท แขวงพระโขนง เขตคลองเตย กรุงเทพฯ,-,-,-,จตุจักร,13.791986,100.585006,-,-,-,-,-,,
เดอะกรีน 3 คอนโดมิเนียม,PKN-39,คุณต้น/คุณปู 097-0790221,0-2305-5288,2.1,1,8,150,8 ซ.บุณณวิถคี 21 ถ.สุขุมวิท 101 แขวงบางจาก เขตพระโขนง กรุงเทพฯ,-,-,-,คลองเตย,13.689309,100.618781,-,-,-,-,-,,
เอส คอนโด สุขุมวิท 50,KT-120,ผจก.สายัณ,083-844-6991,1.2,1,8,77,857 ซ.สุขุมวิท 50 แขวงพระโขนง เขตคลองเตย กรุงเทพฯ,-,-,-,พระโขนง,13.703526,100.590715,-,-,-,-,-,,
ลุมพินี พาร์ค พระราม 9 - รัชดา  ,HK-47,,0-2203-0364-5,1.2,2,24,1544,888 ถนนจตุนทิศ แขวงบางกะปิ เขตห้วยขวาง กรุงเทพฯ ,-,-,-,คลองเตย,13.753267,100.576279,-,-,-,-,-,,
รีเจ้นท์ ออคิด คอนโด  ,PKN-22,,0-2331-1866,2.1,1,21,590,299 ซอยสุขุมวิท 101 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร,-,-,-,ห้วยขวาง,13.690652,100.611078,-,-,-,-,-,,
ออริจินส์ พระราม 2,JT-5,คุณปริญญา,0-2490-7400,3.2,2,8,471,266/1 ถนนพระรามที่ 2 แขวงแสมดำ เขตบางขุนเทียน กรุงเทพฯ,-,-,-,พระโขนง,13.67454,100.45826,-,-,-,-,-,,
ดับบิว.พี.เซ็นทรัล คอนโดมิเนียม 302,JJ-17,คุุณธีระศักดิ์,081-312-0726,4.1,1,8,120,302 ถนนลาดพร้าว 1 แขวงจอมพล เขตจตุจักร กรุงเทพฯ,-,-,-,บางขุนเทียน,13.813748,100.564931,-,-,-,-,-,,
เฮ้าส์ 23 รัชดา-ลาดพร้าว,JJ-114,คุณแอ๊ด ผจก.อาคาร 064 919 8968,,4.1,1,27,236,1009 ถนนลาดพร้าว  แขวงจันทรเกษม เขตจตุจักร กรุงเทพฯ ,-,-,-,จตุจักร,13.805258,100.575912,-,-,-,-,-,,
บ้านปิยะ สาธร,ST-15,นิติ : 086 307 0313,02 677 5120 - 5,1.1,1,33,146,5 ซอยสวนพลู ถนนสาธรใต้ แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพ 10120,-,-,-,จตุจักร,13.722778,100.53705,-,-,-,-,-,,
"ฟลอราวิลล์ (ตึก C, D)",SL-54,"ผจ แอ๋ว 065-214-1944,02-0130944,097-1701000",floraville.qpm@hotmail.com,2.1,2,32,320,14 ซอยพัฒนาการ 51  ถนนพัฒนาการ แขวงสวนหลวง เขตสวนหลวง กทม.,-,-,-,สาทร,14.734868,100.646971,-,-,-,-,-,,
Groove Condo Ratchada-Ladprao,LPU-44,,086-9351462,4.1,1,7,79,"8/30 Soi Nakniwat 34,  Nakniwat Rd.,  Lat Phrao, Bangkok Thailand  ",-,-,-,สวนหลวง,13.79708,100.585205,-,-,-,-,-,,
B-CONDO,BPE-1,,081-422-3533,2.2,2,8,404,56 ม.15 ถ.บางนา-ตราด 39  กม.5.6 ซ.ศรหิรัญ  ต.บางแก้ว อ.บางพลี จ.สมุทรปราการ 10540,-,-,-,,13.663634,100.660421,-,-,-,-,-,,
เอื้ออาทร บางนา นิติ 5 (ตึก 86 - 109),BPE-8,คุณนุ้ย,095-802-0374  02-181-9974,2.2,23,5,956,310/37 อาคาร 96 ชั้น 1 หมู่ 7 ต.บางโฉลง อ.บางพลี จ.สมุทรปราการ 10540,-,-,-,บางพลี,13.602612,100.751572,-,-,-,-,-,,
บ้านเอื้ออาทรสายไหม 2 (ตึก 27 - 53),SYM-23,,,4.2,26,5,1040,351/41 อาคาร 27 ถนนสายไหม แขวงสายไหม เขตสายไหม กรุงเทพฯ,-,-,-,บางพลี,13.922071,100.65497,-,-,-,-,-,,
สถิตภิรมย์,NON-47,คุณอ้อย,093-939-5921,4.1,1,19,355,34 หมู่ 4 ถ.ประชาราษฏร์ ต.สวนใหญ่ อ.เมือง จ.นนทบุรี,-,-,-,สายไหม,13.843312,100.498462,-,-,-,-,-,,
แฟมมิลี่ คอนโดมิเนียม,JJ-117,คุณฝ้าย,"063-229-1516,02-6163168",4.1,1,8,438,82 ซ.อินทามระ 25 สามเสนใน พญาไท กทม. 10400,-,-,-,เมืองนนทบุรี,13.791066,100.558685,-,-,-,-,-,,
เดอะ รีโว ลาดพร้าว 48,LPU-43,คุณเบล,064-767-3631,4.1,1,5,79,56 ซอยพิบูลอุปถัมม์ ถนนลาดพร้าว 48 แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพฯ 10310,-,-,-,พญไท,13.7978779,100.5865742,-,-,-,-,-,,
พลัม พหลโยธิน 89 เฟส 3,DM-31,คุณนิด,นิติฯ : 096 8682246,4.2,4,8,1272,9 ตำบลประชาธิปัตย์  อำเภอธัญบุรี จ.ปทุมธานี 12130,-,-,-,ห้วยขวาง,13.970753,100.617469,-,-,-,-,-,,
ลาดพร้าว คอนโดทาวน์,WTL-29,คุณวิทยา,095-752-0555,4.1,2,6,570,186/231 ถนนลาดพร้าว แขวงคลองเจ้าคุณสิงห์ เขตวังทองหลาง กรุงเทพฯ,-,-,-,ธัญบุรี,13.787842,100.619375,-,-,-,-,-,,
ประสานมิตร  คอนโดมิเนียม,WTN-78,คุุณสมชาย     เบอร์ช่าง 087-114-4996,0-2258-0316   0-2260-3551,2.1,1,8,51,8 ซอย 23(ประสานมิตร) ถนนสุขุมวิท แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพฯ,-,-,-,วังทองหลาง,13.73702,100.563047,-,-,-,-,-,,
บัดเจท คอนโด ติวานนท์ 3,NON-14,คุณหมวย,087-689-4391,4.1,1,8,238,35 ตำบลตลาดขวัญ อำเภอเมืองนนทบุรี  จังหวัดนนทบุรี 11100,-,-,-,วัฒนา,13.849093,100.513286,-,-,-,-,-,,
Moon Tower Condominium,WTN-95,,0-2381-4420  086-301-3065,,1,28,70,"45 Soi Sukumvit 59, Sukumvit Rd., Kwaeng Klongloey Nue, Wattana Bangkok ",-,-,-,เมืองนนทบุรี,13.725637,100.581909,-,-,-,-,-,,
ไฮฟ์ ตากสิน,KS-35,,0-2862-2544-5 085-661-1572 091-564-9550,,1,28,365,18 ซ.กรุงธนบุรี 1 ถ.กรุงธนบุรี แขวงลองต้นไทร เขตคลองสาน กรุงเทพมหานคร,-,-,-,วัฒนา,13.721986,100.496445,-,-,-,-,-,,
เดอะ พาร์คแลนด์  รัชดา-วงศ์สว่าง,BS-22,,"0-2116-9600, 095-364-2621  ",,1,33,796,1305  ถนนกรุงเทพ-นนท์  แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพฯ ,-,-,-,คลองสาน,13.828891,100.527391,-,-,-,-,-,,
มา เมซอง คอนโดมิเนียม,,คุณบุณเลิศ : 081 984 1454 /02-9346220,,,1,22,221,359 มาเมซอง คอนโดมิเนียม ซอยลาดพร้าว 94 ถนนอินทราภรณ์  แขวงพลับพลา เขตวังทองหลาง กทม.,-,-,-,บางซื่อ,13.772171,100.615197,-,-,-,-,-,,
